nodeName	altName	nodeAttr.nodesPresent...
csgE_b1039_14	csgE_b1039_14	salmon4
csgF_b1038_15	csgF_b1038_15	salmon4
csgG_b1037_14	csgG_b1037_14	salmon4
csiD_b2659_14	csiD_b2659_14	brown
csiE_b2535_15	csiE_b2535_15	brown
csiR_b2664_15	csiR_b2664_15	turquoise
cspA_b3556_14	cspA_b3556_14	turquoise
cspB_b1557_14	cspB_b1557_14	lavenderblush3
cspC_b1823_14	cspC_b1823_14	turquoise
cspD_b0880_15	cspD_b0880_15	turquoise
cspE_b0623_15	cspE_b0623_15	grey
cspF_b1558_15	cspF_b1558_15	lavenderblush3
cspG_b0990_15	cspG_b0990_15	lavenderblush3
cspH_b0989_15	cspH_b0989_15	lavenderblush3
cspI_b1552_14	cspI_b1552_14	lavenderblush3
csrA_b2696_15	csrA_b2696_15	brown
csrB_b4408_12	csrB_b4408_12	turquoise
csrC_b4457_6	csrC_b4457_6	royalblue
csrD_b3252_14	csrD_b3252_14	turquoise
cstA_b0598_15	cstA_b0598_15	darkturquoise
cueO_b0123_15	cueO_b0123_15	green
cueR_b0487_15	cueR_b0487_15	royalblue
cusA_b0575_15	cusA_b0575_15	blue2
cusB_b0574_15	cusB_b0574_15	blue2
cusC_b0572_15	cusC_b0572_15	blue2
cusF_b0573_15	cusF_b0573_15	blue2
cusR_b0571_14	cusR_b0571_14	blue2
cusS_b0570_14	cusS_b0570_14	turquoise
cutA_b4137_13	cutA_b4137_13	turquoise
cutC_b1874_28	cutC_b1874_28	yellow
cvpA_b2313_14	cvpA_b2313_14	orange
cvrA_b1191_26	cvrA_b1191_26	green
cyaA_b3806_15	cyaA_b3806_15	turquoise
cyaR_b4438_7	cyaR_b4438_7	darkturquoise
cyaY_b3807_15	cyaY_b3807_15	turquoise
cybB_b1418_15	cybB_b1418_15	turquoise
cybC_b4236_20	cybC_b4236_20	turquoise
cycA_b4208_15	cycA_b4208_15	bisque4
cydA_b0733_15	cydA_b0733_15	lightpink3
cydB_b0734_15	cydB_b0734_15	lightpink3
cydC_b0886_14	cydC_b0886_14	turquoise
cydD_b0887_14	cydD_b0887_14	turquoise
cynR_b0338_15	cynR_b0338_15	red
cynT_b0339_15	cynT_b0339_15	turquoise
cynX_b0341_15	cynX_b0341_15	turquoise
cyoA_b0432_14	cyoA_b0432_14	thistle
cyoB_b0431_14	cyoB_b0431_14	thistle
cyoC_b0430_15	cyoC_b0430_15	thistle
